SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1630556,0022401048,"Mar 25, 2025",DAL @ NYK,L,19,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,-19,1
22024,1630556,0022400998,"Mar 19, 2025",DAL @ IND,L,21,3,5,0.6,3,4,0.75,0,0,0.0,0,2,2,1,1,0,1,5,9,-15,1
22024,1630556,0022400976,"Mar 16, 2025",DAL vs. PHI,L,27,2,3,0.667,1,2,0.5,0,0,0.0,0,7,7,1,0,1,1,4,5,-2,1
22024,1630556,0022400961,"Mar 14, 2025",DAL @ HOU,L,35,4,10,0.4,2,5,0.4,2,2,1.0,1,5,6,0,1,4,1,2,12,-19,1
22024,1630556,0022400951,"Mar 12, 2025",DAL @ SAS,L,28,6,8,0.75,2,2,1.0,1,2,0.5,0,3,3,0,1,0,2,3,15,-17,1
22024,1630556,0022400937,"Mar 10, 2025",DAL @ SAS,W,35,9,12,0.75,0,1,0.0,4,4,1.0,4,7,11,3,1,0,0,3,22,11,1
22024,1630556,0022400921,"Mar 09, 2025",DAL vs. PHX,L,31,4,10,0.4,2,4,0.5,0,0,0.0,0,3,3,2,0,1,0,3,10,4,1
22024,1630556,0022400906,"Mar 07, 2025",DAL vs. MEM,L,29,4,9,0.444,3,4,0.75,2,2,1.0,1,2,3,3,2,1,1,2,13,1,1
22024,1630556,0022400897,"Mar 05, 2025",DAL @ MIL,L,26,3,4,0.75,1,2,0.5,0,0,0.0,0,2,2,3,2,1,1,3,7,-22,1
22024,1630556,0022400880,"Mar 03, 2025",DAL vs. SAC,L,22,3,3,1.0,0,0,0.0,0,0,0.0,2,2,4,4,0,0,0,1,6,-12,1
22024,1630556,0022400847,"Feb 27, 2025",DAL vs. CHA,W,5,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,0,0,1,0,3,-5,1
22024,1630556,0022400835,"Feb 25, 2025",DAL @ LAL,L,13,2,5,0.4,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,2,4,-15,1
22024,1630556,0022400812,"Feb 23, 2025",DAL @ GSW,L,14,3,7,0.429,0,1,0.0,0,0,0.0,1,7,8,1,1,1,0,2,6,-5,1
22024,1630556,0022400803,"Feb 21, 2025",DAL vs. NOP,W,12,1,2,0.5,0,1,0.0,0,0,0.0,0,4,4,1,0,0,1,4,2,-6,1
22024,1630556,0022400786,"Feb 13, 2025",DAL vs. MIA,W,40,6,12,0.5,3,4,0.75,0,0,0.0,4,5,9,3,0,0,0,1,15,10,1
22024,1630556,0022400782,"Feb 12, 2025",DAL vs. GSW,W,33,2,5,0.4,0,2,0.0,0,0,0.0,3,3,6,6,2,3,2,2,4,14,1
22024,1630556,0022400762,"Feb 10, 2025",DAL vs. SAC,L,26,3,5,0.6,0,1,0.0,0,0,0.0,0,1,1,1,2,2,1,3,6,-10,1
22024,1630556,0022400741,"Feb 08, 2025",DAL vs. HOU,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22024,1630556,0022400728,"Feb 06, 2025",DAL @ BOS,W,15,1,1,1.0,0,0,0.0,1,1,1.0,0,3,3,3,0,1,0,2,3,5,1
22024,1630556,0022400712,"Feb 04, 2025",DAL @ PHI,L,23,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0,1,1,1,3,0,-4,1
22024,1630556,0022400696,"Feb 02, 2025",DAL @ CLE,L,22,3,5,0.6,2,3,0.667,0,0,0.0,1,6,7,1,0,0,1,1,8,-7,1
22024,1630556,0022400680,"Jan 31, 2025",DAL @ DET,L,10,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,1,1,2,0,-4,1
22024,1630556,0022400670,"Jan 29, 2025",DAL @ NOP,W,15,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,2,0,1,0,3,2,7,1
22024,1630556,0022400657,"Jan 27, 2025",DAL vs. WAS,W,23,2,3,0.667,1,2,0.5,0,0,0.0,1,6,7,2,1,0,0,2,5,-9,1
22024,1630556,0022400635,"Jan 25, 2025",DAL vs. BOS,L,12,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,1,0,1,0,-4,1
22024,1630556,0022400625,"Jan 23, 2025",DAL @ OKC,W,23,2,3,0.667,1,1,1.0,2,2,1.0,1,3,4,2,1,0,0,2,7,-5,1
22024,1630556,0022400614,"Jan 22, 2025",DAL vs. MIN,L,15,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,4,-3,1
