SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1631301,0022401187,"Apr 13, 2025",CHA @ BOS,L,20,4,9,0.444,2,5,0.4,2,3,0.667,1,0,1,2,1,0,1,3,12,-5,2
22024,1631301,0022401174,"Apr 11, 2025",CHA @ BOS,L,16,1,3,0.333,1,2,0.5,1,2,0.5,0,0,0,1,0,0,1,4,4,-10,1
22024,1631301,0022401158,"Apr 09, 2025",CHA @ TOR,L,24,1,6,0.167,0,3,0.0,2,2,1.0,1,2,3,1,1,1,1,0,4,-21,1
22024,1631301,0022401146,"Apr 08, 2025",CHA vs. MEM,L,18,3,5,0.6,0,1,0.0,3,4,0.75,0,0,0,3,1,0,1,1,9,-1,1
22024,1631301,0022401133,"Apr 06, 2025",CHA vs. CHI,L,12,2,2,1.0,2,2,1.0,0,0,0.0,1,0,1,1,0,0,1,0,6,4,1
22024,1631301,0022401118,"Apr 04, 2025",CHA vs. SAC,L,21,1,3,0.333,1,2,0.5,4,4,1.0,0,1,1,4,0,0,3,2,7,-14,1
