SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1630283,0022401196,"Apr 13, 2025",NOP vs. OKC,L,15,1,1,1.0,0,0,0.0,1,2,0.5,0,5,5,1,0,1,1,1,3,-15,1
22024,1630283,0022401177,"Apr 11, 2025",NOP vs. MIA,L,21,2,6,0.333,0,0,0.0,1,2,0.5,1,5,6,1,1,0,0,2,5,-12,2
22024,1630283,0022401161,"Apr 10, 2025",NOP @ MIL,L,23,1,2,0.5,0,0,0.0,0,0,0.0,3,4,7,1,0,0,2,4,2,-12,1
22024,1630283,0022400812,"Feb 23, 2025",DAL @ GSW,L,6,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,4,1
22024,1630283,0022400786,"Feb 13, 2025",DAL vs. MIA,W,3,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,4,-1,1
22024,1630283,0022400782,"Feb 12, 2025",DAL vs. GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22024,1630283,0022400762,"Feb 10, 2025",DAL vs. SAC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1,1
22024,1630283,0022400712,"Feb 04, 2025",DAL @ PHI,L,5,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,1,-4,1
22024,1630283,0022400696,"Feb 02, 2025",DAL @ CLE,L,34,5,6,0.833,0,0,0.0,2,2,1.0,3,8,11,1,0,1,1,2,12,-21,1
22024,1630283,0022400680,"Jan 31, 2025",DAL @ DET,L,8,2,3,0.667,0,0,0.0,0,0,0.0,2,0,2,0,0,1,0,2,4,-6,1
22024,1630283,0022400657,"Jan 27, 2025",DAL vs. WAS,W,8,0,0,0.0,0,0,0.0,1,2,0.5,1,3,4,0,0,0,0,2,1,-3,1
